,coef,std_err,t,p_value,significativo_0.05
Intercept,28.27020498759346,0.9229346658483952,30.630775973298668,1.6668020169147587e-204,True
C(modelo)[T.ElasticNet],-5.32764808232008,0.6396852097837379,-8.328546605167295,8.350502139100706e-17,True
C(modelo)[T.GradientBoosting],-5.869772002448486,0.6396852097837398,-9.17603207432746,4.6066557040826926e-20,True
C(modelo)[T.KNN],-7.8136267819749845,0.6396852097837408,-12.214799814765996,2.8401740148426477e-34,True
C(modelo)[T.Lasso],-1.1323039079410053,0.6396852097837418,-1.7700954948197145,0.07671619395793718,False
C(modelo)[T.LinearRegression],23.90290661771785,0.6396852097837439,37.366670750131334,3.413499350258095e-302,True
C(modelo)[T.Ridge],-1.365629006437146,0.6396852097837414,-2.1348453669873413,0.03277758923308767,True
C(modelo)[T.SVR_rbf],-7.456986772866978,0.6396852097837421,-11.6572755768231,2.273469331495538e-31,True
C(window)[T.36],1.6371495617330438,0.38311518490626856,4.273256780812753,1.9292811437674287e-05,True
C(window)[T.48],8.194433710871923,0.3903037138319115,20.995018547020397,1.605892518067857e-97,True
C(transform)[T.log_diff],-1.4287407315551066,0.49549803286152566,-2.8834438015910138,0.00393489364226887,True
C(transform)[T.none],0.2615223663787525,0.4954980328615262,0.5277969820958675,0.5976421586523915,False
C(transform)[T.seasonal_diff],8.971794213215789,0.5262422017257128,17.0487927114064,5.0391445683689465e-65,True
C(transform)[T.standard],-1.2502820080134613,0.4954980328615267,-2.5232834947759897,0.011628964840747267,True
C(estrategia)[T.exclude],1.308848862624501e-15,0.5057155621098135,2.5881126876223978e-15,0.9999999999999979,False
C(estrategia)[T.isolation],1.0055127133724076,0.5057155621098134,1.9882969572410862,0.04678328808062409,True
C(estrategia)[T.none],-5.936223734792634e-15,0.5057155621098133,-1.1738265894027632e-14,0.9999999999999907,False
C(estrategia)[T.winsorize],-6.605610156085184e-15,0.5057155621098135,-1.306190801905916e-14,0.9999999999999896,False
use_tda,1.0809400441803332,0.3198426048918718,3.3795999271134103,0.0007263654787605213,True
has_exog,2.599602732642878,0.6606640438153656,3.9348330773838565,8.334608116053361e-05,True
