number,value,datetime_start,datetime_complete,duration,params_exog__cpi_fresh_fruits,params_exog__diesel_price,params_exog__mxn_usd,params_exog__ppi_fertilizers,params_model,params_strategy,params_transform,params_use_tda,params_window,state
0,33.0650724315741,2026-06-08 00:52:29.437704,2026-06-08 00:52:32.732938,0 days 00:00:03.295234,True,False,True,True,Ridge,winsorize,standard,True,36,COMPLETE
1,27.119024756287,2026-06-08 00:52:29.441200,2026-06-08 00:52:32.720932,0 days 00:00:03.279732,False,False,True,True,ElasticNet,winsorize,standard,True,36,COMPLETE
2,29.906261384980738,2026-06-08 00:52:29.445819,2026-06-08 00:52:30.127790,0 days 00:00:00.681971,True,True,False,True,ElasticNet,dummy,diff,False,24,COMPLETE
3,31.343164224209826,2026-06-08 00:52:29.452679,2026-06-08 00:52:45.175865,0 days 00:00:15.723186,False,True,True,True,GradientBoosting,exclude,log_diff,True,48,COMPLETE
4,26.898451315179674,2026-06-08 00:52:29.464632,2026-06-08 00:52:32.265667,0 days 00:00:02.801035,False,False,True,False,Lasso,exclude,standard,True,48,COMPLETE
5,28.47898470703125,2026-06-08 00:52:29.466250,2026-06-08 00:52:34.508890,0 days 00:00:05.042640,False,False,False,True,KNN,winsorize,diff,True,24,COMPLETE
6,105.44306212175657,2026-06-08 00:52:29.468587,2026-06-08 00:52:30.096497,0 days 00:00:00.627910,False,True,False,False,LinearRegression,none,standard,False,48,COMPLETE
7,35.77325893474274,2026-06-08 00:52:30.103023,2026-06-08 00:52:37.275091,0 days 00:00:07.172068,True,True,True,True,GradientBoosting,none,seasonal_diff,False,48,COMPLETE
8,29.97702282590604,2026-06-08 00:52:30.131702,2026-06-08 00:52:46.070543,0 days 00:00:15.938841,True,True,True,True,GradientBoosting,dummy,standard,True,48,COMPLETE
9,31.9473642628298,2026-06-08 00:52:32.268490,2026-06-08 00:52:33.198044,0 days 00:00:00.929554,True,False,False,False,Ridge,winsorize,none,False,48,COMPLETE
10,29.219075791281313,2026-06-08 00:52:32.735511,2026-06-08 00:52:33.131735,0 days 00:00:00.396224,True,True,True,True,SVR_rbf,dummy,log_diff,False,36,COMPLETE
11,28.927149857744734,2026-06-08 00:52:32.742635,2026-06-08 00:52:51.137419,0 days 00:00:18.394784,False,True,True,False,GradientBoosting,dummy,standard,False,48,COMPLETE
12,31.661606751784596,2026-06-08 00:52:33.142855,2026-06-08 00:52:34.795998,0 days 00:00:01.653143,False,True,True,False,SVR_rbf,exclude,seasonal_diff,True,36,COMPLETE
13,28.292983125000003,2026-06-08 00:52:33.213775,2026-06-08 00:52:35.593010,0 days 00:00:02.379235,True,False,False,False,KNN,dummy,none,True,24,COMPLETE
14,27.54524111111111,2026-06-08 00:52:34.511513,2026-06-08 00:52:35.968482,0 days 00:00:01.456969,False,True,False,False,KNN,exclude,none,False,36,COMPLETE
15,30.628865661281157,2026-06-08 00:52:34.803284,2026-06-08 00:52:34.981777,0 days 00:00:00.178493,False,False,True,True,ElasticNet,winsorize,none,False,48,COMPLETE
16,66.43181600207903,2026-06-08 00:52:34.985008,2026-06-08 00:52:35.974196,0 days 00:00:00.989188,False,False,True,False,Lasso,exclude,seasonal_diff,True,48,COMPLETE
17,26.80246142816654,2026-06-08 00:52:35.596518,2026-06-08 00:52:36.950049,0 days 00:00:01.353531,False,False,True,False,Lasso,exclude,standard,True,36,COMPLETE
18,26.91990504047213,2026-06-08 00:52:35.975899,2026-06-08 00:52:37.322330,0 days 00:00:01.346431,False,False,True,True,Lasso,none,standard,True,48,COMPLETE
19,29.84580406526097,2026-06-08 00:52:35.981103,2026-06-08 00:53:01.543430,0 days 00:00:25.562327,False,False,True,True,GradientBoosting,none,standard,True,48,COMPLETE
20,26.898451315179674,2026-06-08 00:52:36.954996,2026-06-08 00:52:38.944148,0 days 00:00:01.989152,False,False,True,False,Lasso,exclude,standard,True,48,COMPLETE
21,26.80246142816654,2026-06-08 00:52:37.286221,2026-06-08 00:52:39.286910,0 days 00:00:02.000689,False,False,True,False,Lasso,exclude,standard,True,36,COMPLETE
22,34.09295607638889,2026-06-08 00:52:37.333756,2026-06-08 00:52:39.597449,0 days 00:00:02.263693,False,False,True,False,DecisionTree,exclude,standard,True,36,COMPLETE
23,34.09295607638889,2026-06-08 00:52:38.952861,2026-06-08 00:52:40.629331,0 days 00:00:01.676470,False,False,True,False,DecisionTree,exclude,standard,True,36,COMPLETE
24,45.2213538869879,2026-06-08 00:52:39.293357,2026-06-08 00:52:41.000185,0 days 00:00:01.706828,False,False,True,False,DecisionTree,exclude,log_diff,True,36,COMPLETE
25,31.348888842127163,2026-06-08 00:52:39.601627,2026-06-08 00:52:41.142971,0 days 00:00:01.541344,False,False,True,False,Lasso,exclude,log_diff,True,36,COMPLETE
