Mes,RF_Sin_TDA,RF_TDA,SARIMA,SARIMA_TDA
Mayo 2026,111.10,109.85,124.98,125.47
Junio 2026,114.72,113.77,116.08,116.38
Julio 2026,110.50,110.71,114.16,114.47
Agosto 2026,113.12,112.90,116.60,116.93
Sept 2026,125.79,125.98,129.43,130.06
Oct 2026,218.96,220.61,139.75,140.19
Nov 2026,177.47,177.19,208.96,207.59
Dic 2026,164.59,164.02,218.88,217.77
Enero 2027,154.82,151.40,192.14,191.31
Febrero 2027,158.91,157.91,186.08,185.75
Marzo 2027,134.59,133.92,135.98,136.09
Abril 2027,111.40,112.51,148.75,149.36
