number,value,datetime_start,datetime_complete,duration,params_model,params_strategy,params_transform,params_use_tda,params_window,state
0,47.784905249095935,2026-06-08 00:51:20.515756,2026-06-08 00:51:20.789937,0 days 00:00:00.274181,LinearRegression,exclude,log_diff,False,48,COMPLETE
1,42.01361506696699,2026-06-08 00:51:20.517403,2026-06-08 00:51:20.879086,0 days 00:00:00.361683,LinearRegression,exclude,standard,False,48,COMPLETE
2,44.183240833333336,2026-06-08 00:51:20.519430,2026-06-08 00:51:20.786119,0 days 00:00:00.266689,DecisionTree,exclude,seasonal_diff,False,48,COMPLETE
3,43.923822384457466,2026-06-08 00:51:20.520379,2026-06-08 00:51:22.121374,0 days 00:00:01.600995,Ridge,exclude,seasonal_diff,True,36,COMPLETE
4,32.42829198524968,2026-06-08 00:51:20.525621,2026-06-08 00:51:28.900163,0 days 00:00:08.374542,GradientBoosting,winsorize,seasonal_diff,True,36,COMPLETE
5,31.278503870863855,2026-06-08 00:51:20.528690,2026-06-08 00:51:20.830120,0 days 00:00:00.301430,Ridge,none,standard,False,36,COMPLETE
6,42.01361506696699,2026-06-08 00:51:20.535403,2026-06-08 00:51:21.053036,0 days 00:00:00.517633,LinearRegression,winsorize,standard,False,48,COMPLETE
7,26.877051513417015,2026-06-08 00:51:20.799234,2026-06-08 00:51:22.553993,0 days 00:00:01.754759,Lasso,dummy,standard,True,48,COMPLETE
8,33.087637870633344,2026-06-08 00:51:20.817901,2026-06-08 00:51:29.289582,0 days 00:00:08.471681,GradientBoosting,none,diff,True,36,COMPLETE
9,26.360648259643582,2026-06-08 00:51:20.844158,2026-06-08 00:51:21.359515,0 days 00:00:00.515357,SVR_rbf,exclude,log_diff,False,24,COMPLETE
10,29.952926755668393,2026-06-08 00:51:20.887039,2026-06-08 00:51:29.645253,0 days 00:00:08.758214,GradientBoosting,winsorize,standard,True,48,COMPLETE
11,31.278503870863858,2026-06-08 00:51:21.059338,2026-06-08 00:51:21.642957,0 days 00:00:00.583619,Ridge,winsorize,none,False,36,COMPLETE
12,47.784905249095935,2026-06-08 00:51:21.376295,2026-06-08 00:51:21.561345,0 days 00:00:00.185050,LinearRegression,dummy,log_diff,False,48,COMPLETE
13,24.885501698340114,2026-06-08 00:51:21.568767,2026-06-08 00:51:21.843483,0 days 00:00:00.274716,ElasticNet,exclude,standard,False,24,COMPLETE
14,27.901596042941048,2026-06-08 00:51:21.644340,2026-06-08 00:51:29.385188,0 days 00:00:07.740848,GradientBoosting,exclude,none,True,24,COMPLETE
15,33.02118104019358,2026-06-08 00:51:21.845158,2026-06-08 00:51:23.644648,0 days 00:00:01.799490,ElasticNet,winsorize,diff,True,36,COMPLETE
16,28.432812883652666,2026-06-08 00:51:22.123812,2026-06-08 00:51:23.143321,0 days 00:00:01.019509,ElasticNet,dummy,diff,True,24,COMPLETE
