,coef,std_err,p_value,significativo_0.05
Intercept,27.022,0.671,0.0,True
C(modelo)[T.ElasticNet],-5.578,0.458,4.7051988063031415e-34,True
C(modelo)[T.GradientBoosting],-5.846,0.458,3.0863199093237536e-37,True
C(modelo)[T.KNN],-7.429,0.458,5.18017610874071e-59,True
C(modelo)[T.Lasso],-2.322,0.458,4.0415731875892484e-07,True
C(modelo)[T.LinearRegression],16.446,0.458,5.728412227191486e-280,True
C(modelo)[T.Ridge],-2.555,0.458,2.47467191506186e-08,True
C(modelo)[T.SVR_rbf],-7.225,0.458,6.492547535320581e-56,True
C(window)[T.24],3.247,0.303,8.760767668000126e-27,True
C(window)[T.36],4.958,0.323,3.3102672163643715e-53,True
C(window)[T.48],11.415,0.33,6.8221351559597505e-261,True
C(transform)[T.log_diff],-1.197,0.357,0.0007990518197444,True
C(transform)[T.none],-0.275,0.357,0.4412752986775407,False
C(transform)[T.seasonal_diff],7.014,0.372,4.574001613444927e-79,True
C(transform)[T.standard],-1.699,0.357,1.954402932201591e-06,True
C(estrategia)[T.exclude],-0.0,0.362,0.9999999999999982,False
C(estrategia)[T.isolation],0.566,0.362,0.1185463159925997,False
C(estrategia)[T.none],0.0,0.362,0.9999999999999908,False
C(estrategia)[T.winsorize],-0.0,0.362,0.999999999999994,False
use_tda,0.763,0.229,0.0008694941340852,True
has_exog,2.489,0.473,1.4484055061258077e-07,True
